pathway,direction,color,source_terms,genes
Epithelial–mesenchymal transition,down,#8C6BB1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,FN1;THBS1;COL4A1;INHBA;SERPINE1;VIM
Inflammatory response,down,#E34A33,HALLMARK_INFLAMMATORY_RESPONSE;GOBP_CHRONIC_INFLAMMATORY_RESPONSE;GOBP_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE,CXCL13;CCL4;CXCL1;CXCL3;CXCL2;CCL2
Macrophage chemotaxis,down,#31A354,GOBP_MACROPHAGE_CHEMOTAXIS,CSF1;CSF1R;C5AR1;GPR183;TREM2;CLEC5A
Interferon response,up,#3182BD,HALLMARK_INTERFERON_ALPHA_RESPONSE;HALLMARK_INTERFERON_GAMMA_RESPONSE,STAT1;IRF1;IFIT1;IFIT2;IFIT3;MX1
Autophagosome,up,#F2C14E,GOBP_AUTOPHAGOSOME_ORGANIZATION;GOBP_AUTOPHAGOSOME_MATURATION,ULK1;RB1CC1;ATG13;MAP1LC3B;GABARAPL2;SQSTM1
